,random_100,science_languagearts_100,languagearts_science_100,random_200,science_languagearts_200,languagearts_science_200,random_300,science_languagearts_300,languagearts_science_300
0,0.515151515152,0.550387596899,0.587301587302,0.176470588235,0.219512195122,0.204819277108,0.129943502825,0.149425287356,0.123595505618
1,0.5625,0.526717557252,0.574803149606,0.212121212121,0.162790697674,0.219512195122,0.0928961748634,0.123595505618,0.149425287356
2,0.492537313433,0.515151515152,0.492537313433,0.212121212121,0.190476190476,0.226993865031,0.169590643275,0.111111111111,0.136363636364
3,0.470588235294,0.503759398496,0.574803149606,0.190476190476,0.197604790419,0.219512195122,0.123595505618,0.117318435754,0.176470588235
4,0.515151515152,0.449275362319,0.574803149606,0.226993865031,0.197604790419,0.183431952663,0.162790697674,0.117318435754,0.142857142857
5,0.449275362319,0.503759398496,0.550387596899,0.169590643275,0.197604790419,0.190476190476,0.0869565217391,0.117318435754,0.142857142857
6,0.515151515152,0.503759398496,0.626016260163,0.183431952663,0.197604790419,0.212121212121,0.136363636364,0.063829787234,0.123595505618
7,0.470588235294,0.492537313433,0.587301587302,0.190476190476,0.156069364162,0.212121212121,0.129943502825,0.117318435754,0.169590643275
8,0.492537313433,0.526717557252,0.574803149606,0.142857142857,0.129943502825,0.219512195122,0.117318435754,0.111111111111,0.129943502825
9,0.550387596899,0.492537313433,0.538461538462,0.234567901235,0.183431952663,0.212121212121,0.104972375691,0.0989010989011,0.129943502825
10,0.515151515152,0.470588235294,0.574803149606,0.212121212121,0.156069364162,0.226993865031,0.0752688172043,0.111111111111,0.104972375691
11,0.459854014599,0.515151515152,0.680672268908,0.176470588235,0.204819277108,0.25786163522,0.0989010989011,0.136363636364,0.136363636364
12,0.481481481481,0.515151515152,0.6,0.156069364162,0.197604790419,0.226993865031,0.104972375691,0.104972375691,0.117318435754
13,0.515151515152,0.503759398496,0.503759398496,0.183431952663,0.162790697674,0.204819277108,0.0695187165775,0.136363636364,0.142857142857
14,0.492537313433,0.550387596899,0.6,0.183431952663,0.190476190476,0.234567901235,0.129943502825,0.0752688172043,0.156069364162
15,0.492537313433,0.492537313433,0.6,0.156069364162,0.226993865031,0.25,0.162790697674,0.117318435754,0.136363636364
16,0.470588235294,0.503759398496,0.5625,0.197604790419,0.190476190476,0.204819277108,0.0869565217391,0.123595505618,0.0989010989011
17,0.438848920863,0.503759398496,0.550387596899,0.149425287356,0.176470588235,0.183431952663,0.104972375691,0.123595505618,0.129943502825
18,0.503759398496,0.587301587302,0.612903225806,0.169590643275,0.219512195122,0.242236024845,0.117318435754,0.117318435754,0.183431952663
19,0.503759398496,0.5625,0.550387596899,0.204819277108,0.219512195122,0.190476190476,0.117318435754,0.149425287356,0.0869565217391
20,0.538461538462,0.503759398496,0.612903225806,0.226993865031,0.242236024845,0.25,0.111111111111,0.123595505618,0.149425287356
21,0.503759398496,0.449275362319,0.612903225806,0.169590643275,0.123595505618,0.226993865031,0.0810810810811,0.117318435754,0.0928961748634
22,0.5625,0.5625,0.574803149606,0.142857142857,0.190476190476,0.204819277108,0.142857142857,0.104972375691,0.0989010989011
23,0.526717557252,0.515151515152,0.587301587302,0.123595505618,0.176470588235,0.25786163522,0.117318435754,0.0989010989011,0.117318435754
24,0.449275362319,0.515151515152,0.538461538462,0.162790697674,0.25,0.219512195122,0.123595505618,0.156069364162,0.162790697674
25,0.470588235294,0.515151515152,0.6,0.183431952663,0.142857142857,0.212121212121,0.123595505618,0.0810810810811,0.104972375691
26,0.459854014599,0.5625,0.652892561983,0.149425287356,0.176470588235,0.242236024845,0.0869565217391,0.149425287356,0.142857142857
27,0.515151515152,0.492537313433,0.574803149606,0.162790697674,0.176470588235,0.226993865031,0.111111111111,0.123595505618,0.104972375691
28,0.470588235294,0.515151515152,0.526717557252,0.183431952663,0.190476190476,0.169590643275,0.111111111111,0.136363636364,0.169590643275
29,0.515151515152,0.515151515152,0.515151515152,0.190476190476,0.123595505618,0.212121212121,0.117318435754,0.136363636364,0.136363636364
30,0.492537313433,0.538461538462,0.587301587302,0.176470588235,0.169590643275,0.204819277108,0.0928961748634,0.129943502825,0.111111111111
31,0.492537313433,0.515151515152,0.515151515152,0.197604790419,0.169590643275,0.176470588235,0.104972375691,0.0928961748634,0.123595505618
32,0.481481481481,0.515151515152,0.587301587302,0.169590643275,0.204819277108,0.169590643275,0.0989010989011,0.0989010989011,0.111111111111
