,homeeconomics,miscellaneous,languagearts,business,science,health,socialstudies,industrialarts
founder,NA,NA,Founding Father,Founding Father,Founding Father,NA,Founding Father,NA
bull,NA,NA,Animal,NA,Animal,NA,Battle of Bull Run,NA
hitch,NA,NA,,,,,,
skate,NA,NA,Skating (Sport),NA,Skating (Sport),Skating (Sport),Skating (Sport),NA
gang,NA,NA,Group,Group,Group,NA,Group,NA
mill,NA,NA,Manufacturing Mill,Manufacturing Mill,Manufacturing Mill,NA,Manufacturing Mill,Mill File
row,NA,NA,"Position(row/column), Continuous Stretch",Tables (row/column),"Position(row/column), Continuous Stretch",Skid Row Bum(alcoholic),"Position(row/column), Continuous Stretch",Continuous Stretch
compact,NA,NA,"Closely packed, make-up","closely packed, formal agreement",Compact Bone (closely packed),closely packed,formal agreement,NA
vet,NA,NA,Veterinarian ,NA,NA,NA,Veterinarian,NA
lining,"organ gland lining, clothing material",NA,"continuous order, clothing material",continuous order,organ gland lining,organ gland lining,continuous order (surrounding),NA
blaze,NA,NA,"fierce display, streak on plants/animials",outburst,fire,NA,fierce display,NA
stable,stability,stability,"stability, horse place",stability,stability,NA,"stability, horse place",stability
jerk,NA,NA,"sudden movement, selfish person",NA,sudden movement,NA,sudden movement,NA
kitty,NA,Name,"Name, place",NA,NA,NA,"name, place",NA
smack,NA,NA,"exactly (smack in the center), punch",NA,NA,NA,directly (smack into),NA
bowler,NA,NA,"bowling game, bowler hat",NA,bowling game,NA,NA,NA
fan,NA,electrical appliance,"admirer, elec app., opened (fan out)",NA,"elec app., opened (fan out)",NA,"elec app., admirer",NA
affect,impact,impact,impact,impact,impact,impact,impact,NA
strand,thread-like,Name,Thread-like/tiny ,NA,Thread-like/tiny ,NA,Thread-like,NA
tear,rip,NA,"rip, cry",rip,"rip, cry","rip, cry","rip, cry",NA
ban,,,,,,,,
cramp,,,,,,,,
fair,,,,,,,,
jade,,,,,,,,
nun,,,,,,,,
sec,,,,,,,,
seal,,,,,,,,
tender,,,,,,,,
bark,,,,,,,,
arm,,,,,,,,
snuff,,,,,,,,
scrap,,,,,,,,
tend,,,,,,,,
gage,,,,,,,,
pump,,,,,,,,
lug,,,,,,,,
mum,,,,,,,,
cuff,,,,,,,,
corruption,,,,,,,,
jumper,,,,,,,,
nip,,,,,,,,
sole,,,,,,,,
spray,,,,,,,,
key,,,,,,,,
jog,,,,,,,,
coma,,,,,,,,
quack,,,,,,,,
league,,,,,,,,
cot,,,,,,,,
cow,,,,,,,,
incense,,,,,,,,
lash,,,,,,,,
vault,,,,,,,,
swallow,,,,,,,,
fry,,,,,,,,
riddle,,,,,,,,
loaf,,,,,,,,
undone,,,,,,,,
spear,,,,,,,,
bridge,,,,,,,,
twit,,,,,,,,
pot,,,,,,,,
spank,,,,,,,,
exploit,,,,,,,,
freak,,,,,,,,
pod,,,,,,,,
cue,,,,,,,,
dug,,,,,,,,
jerky,,,,,,,,
firm,,,,,,,,
flight,,,,,,,,
spit,,,,,,,,
cop,,,,,,,,
chum,,,,,,,,
caddy,,,,,,,,
squash,,,,,,,,
pie,,,,,,,,
forge,,,,,,,,
tense,,,,,,,,
liver,,,,,,,,
hobby,,,,,,,,
gag,,,,,,,,
former,,,,,,,,
funk,,,,,,,,
novel,,,,,,,,
mount,,,,,,,,
pace,,,,,,,,
fleet,,,,,,,,
cock,,,,,,,,
pack,,,,,,,,
pound,,,,,,,,
costly,,,,,,,,
tar,,,,,,,,
soil,,,,,,,,
rip,,,,,,,,
strain,,,,,,,,
brake,,,,,,,,
quail,,,,,,,,
rib,,,,,,,,
chase,,,,,,,,
tattoo,,,,,,,,
sounding,,,,,,,,
pat,,,,,,,,
pry,,,,,,,,
toaster,,,,,,,,
bowl,,,,,,,,
port,,,,,,,,
pad,,,,,,,,
shag,,,,,,,,
commune,,,,,,,,
settle,,,,,,,,
rail,,,,,,,,
weed,,,,,,,,
stripe,,,,,,,,
tuna,,,,,,,,
noodle,,,,,,,,
dock,,,,,,,,
drone,,,,,,,,
relief,,,,,,,,
toil,,,,,,,,
skipper,,,,,,,,
chord,,,,,,,,
knot,,,,,,,,
rocket,,,,,,,,
yen,,,,,,,,
bongo,,,,,,,,
invalid,,,,,,,,
cape,,,,,,,,
plight,,,,,,,,
blow,,,,,,,,
console,,,,,,,,
ham,,,,,,,,
rose,,,,,,,,
supply,,,,,,,,
verse,,,,,,,,
pile,,,,,,,,
barker,,,,,,,,
match,,,,,,,,
raven,,,,,,,,
rejoin,,,,,,,,
frail,,,,,,,,
mow,,,,,,,,
earnest,,,,,,,,
pop,,,,,,,,
burden,,,,,,,,
press,,,,,,,,
stunt,,,,,,,,
roach,,,,,,,,
tick,,,,,,,,
rear,,,,,,,,
darn,,,,,,,,
tower,,,,,,,,
dresser,,,,,,,,
page,,,,,,,,
heel,,,,,,,,
shed,,,,,,,,
glare,,,,,,,,
flatter,,,,,,,,
stern,,,,,,,,
poop,,,,,,,,
hail,,,,,,,,
palm,,,,,,,,
flush,,,,,,,,
bore,,,,,,,,
stir,,,,,,,,
scale,,,,,,,,
mood,,,,,,,,
pet,,,,,,,,
putter,,,,,,,,
lean,,,,,,,,
slick,,,,,,,,
prop,,,,,,,,
pen,,,,,,,,
temple,,,,,,,,
trap,,,,,,,,
peel,,,,,,,,
intimate,,,,,,,,
peep,,,,,,,,
corn,,,,,,,,
pose,,,,,,,,
stem,,,,,,,,
host,,,,,,,,
bolt,,,,,,,,
peer,,,,,,,,
post,,,,,,,,
mite,,,,,,,,
paste,,,,,,,,
slug,,,,,,,,
rut,,,,,,,,
hiding,,,,,,,,
pike,,,,,,,,
rare,,,,,,,,
revere,,,,,,,,
chop,,,,,,,,
ounce,,,,,,,,
dotty,,,,,,,,
chow,,,,,,,,
repair,,,,,,,,
thinner,,,,,,,,
pussy,,,,,,,,
bound,,,,,,,,
brush,,,,,,,,
sow,,,,,,,,
strip,,,,,,,,
mark,,,,,,,,
van,,,,,,,,
log,,,,,,,,
sock,,,,,,,,
imperial,,,,,,,,
stamina,,,,,,,,
low,,,,,,,,
wax,,,,,,,,
gin,,,,,,,,
spat,,,,,,,,
cricket,,,,,,,,
bus,,,,,,,,
buggy,,,,,,,,
pitcher,,,,,,,,
fore,,,,,,,,
gore,,,,,,,,
reef,,,,,,,,
tacky,,,,,,,,
cottage,,,,,,,,
deuce,,,,,,,,
reel,,,,,,,,
bossy,,,,,,,,
bud,,,,,,,,
count,,,,,,,,
rush,,,,,,,,
wise,,,,,,,,
flip,,,,,,,,
shin,,,,,,,,
entrance,,,,,,,,
maroon,,,,,,,,
chap,,,,,,,,
file,,,,,,,,
prayer,,,,,,,,
rally,,,,,,,,
pit,,,,,,,,
cotton,,,,,,,,
spell,,,,,,,,
smelt,,,,,,,,
nag,,,,,,,,
tit,,,,,,,,
stake,,,,,,,,
tip,,,,,,,,
repent,,,,,,,,
rubber,,,,,,,,
nap,,,,,,,,
mast,,,,,,,,
boom,,,,,,,,
test,,,,,,,,
tart,,,,,,,,
junk,,,,,,,,
scrub,,,,,,,,
sling,,,,,,,,
cashier,,,,,,,,
diet,,,,,,,,
foil,,,,,,,,
fell,,,,,,,,
intent,,,,,,,,
wrinkle,,,,,,,,
desert,,,,,,,,
pool,,,,,,,,
vice,,,,,,,,
tanner,,,,,,,,
sewer,,,,,,,,
pupil,,,,,,,,
husky,,,,,,,,
sash,,,,,,,,
