,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware
0,0.00604968263541,0.00477315187351,0.00648426665957,0.00648017798917,0.00626493031229,0.00562870926654,False,True
1,0.00403566078954,0.00477655636088,0.00568766654797,0.00449814297707,0.0042669018833,0.00523211145443,True,False
2,0.00487011251811,0.00570179071051,0.00700728169965,0.00429749152251,0.00458380202031,0.00635453620508,True,False
3,0.00326832133462,0.00291642311076,0.00385512223306,0.00299888176,0.00313360154731,0.00338577267191,True,False
4,0.0033435326245,0.00304560011802,0.00369744499325,0.00296468383633,0.00315410823041,0.00337152255564,True,False
5,0.0062160293752,0.00434734493904,0.00508327752602,0.00483023105476,0.00552313021498,0.00471531123253,False,True
6,0.00296715048579,0.00400311732774,0.00335952933364,0.00285985377815,0.00291350213197,0.00368132333069,True,False
7,0.00681214190462,0.00726966544874,0.00705167063877,0.00767351925961,0.00724283058211,0.00716066804375,False,True
8,0.00356082962724,0.00397867952795,0.00261452194051,0.00350976510511,0.00353529736618,0.00329660073423,False,True
9,0.00318533172239,0.00290740400459,0.00317506766919,0.00289257112824,0.00303895142532,0.00304123583689,True,False
10,0.00312394293082,0.00332274055033,0.0035964912213,0.00248750617449,0.00280572455266,0.00345961588581,True,False
11,0.00488566741388,0.00514924942676,0.00490381062303,0.00457161306322,0.00472864023855,0.0050265300249,True,False
12,0.00519385498934,0.00501857159013,0.00574640392023,0.00588870875426,0.0055412818718,0.00538248775518,False,True
13,0.00601458914419,0.00625669564253,0.00667605835345,0.00929570688587,0.00765514801503,0.00646637699799,False,True
14,0.00569929632947,0.00418708924742,0.00529745884457,0.00389442646547,0.00479686139747,0.00474227404599,False,True
15,0.00671286854317,0.00664651453806,0.00614486170294,0.0050716431073,0.00589225582524,0.0063956881205,True,False
16,0.00674461195746,0.00620997219875,0.00639009627318,0.00638289727881,0.00656375461813,0.00630003423597,False,True
17,0.00711167220172,0.00478372109984,0.00600546466816,0.00747907071107,0.00729537145639,0.005394592884,False,True
18,0.00496585808202,0.00440625320883,0.00437641808116,0.00397833603281,0.00447209705741,0.00439133564499,False,True
19,0.00319588227288,0.00319128573177,0.00258571782469,0.00253302644977,0.00286445436132,0.00288850177823,True,False
20,0.00339342641073,0.00406538284171,0.00344928163642,0.00287428819164,0.00313385730118,0.00375733223907,True,False
21,0.00400034457374,0.0044678674269,0.00310206249771,0.00314887592209,0.00357461024791,0.0037849649623,True,False
22,0.00632998772447,0.00608040464777,0.00489967374658,0.00550943434955,0.00591971103701,0.00549003919718,False,True
23,0.00364649506529,0.00359280922253,0.00349508992708,0.00271530792614,0.00318090149571,0.00354394957481,True,False
24,0.00346731062554,0.00254256638254,0.0029685377923,0.00309128374026,0.0032792971829,0.00275555208742,False,True
25,0.00271818960678,0.00366749788072,0.00315936476151,0.00259345057427,0.00265582009052,0.00341343132112,True,False
26,0.00275113070791,0.00284199295035,0.0031721417581,0.00288336941851,0.00281725006321,0.00300706735423,True,False
27,0.00331131058204,0.00366684536519,0.00365794766295,0.00380919784668,0.00356025421436,0.00366239651407,True,False
28,0.00869566044846,0.00701723414391,0.0071354457065,0.00913351292924,0.00891458668885,0.00707633992521,False,True
29,0.00418177451022,0.00441095870392,0.00536770661081,0.0043938680395,0.00428782127486,0.00488933265736,True,False
30,0.00612535467259,0.00638041379778,0.00575410773679,0.00486280259658,0.00549407863459,0.00606726076728,True,False
31,0.00462887247741,0.00495703227307,0.0044850831364,0.00367509147808,0.00415198197774,0.00472105770473,True,False
32,0.00374606378474,0.00305955607032,0.00338262845522,0.00399223746703,0.00386915062589,0.00322109226277,False,True
33,0.00480002921996,0.00579386939843,0.00748648969922,0.0055671460987,0.00518358765933,0.00664017954883,True,False
34,0.00334451866347,0.00349874664107,0.0038173051179,0.00341150858449,0.00337801362398,0.00365802587948,True,False
35,0.00224245719959,0.00285563822518,0.00278500337397,0.00281523742955,0.00252884731457,0.00282032079958,True,False
36,0.00325904484526,0.00295768527182,0.00320204664628,0.00376771979979,0.00351338232253,0.00307986595905,False,True
37,0.00314119690888,0.00355404516701,0.00457203317396,0.00414626078283,0.00364372884586,0.00406303917049,True,False
38,0.00209071858148,0.00300450852701,0.00303529003164,0.00272969558797,0.00241020708473,0.00301989927933,True,False
39,0.00434846069779,0.00598822477215,0.00361920271171,0.00381822921687,0.00408334495733,0.00480371374193,True,False
40,0.00363509682222,0.00409173380612,0.00560040424393,0.00284224510115,0.00323867096169,0.00484606902503,True,False
41,0.00414277232958,0.00304270806643,0.00315119472346,0.00424552190166,0.00419414711562,0.00309695139495,False,True
42,0.00356213242571,0.00297941003523,0.00293878079719,0.00276064167099,0.00316138704835,0.00295909541621,False,True
43,0.00253723792984,0.00200457398304,0.00189000675067,0.00328572226537,0.00291148009761,0.00194729036686,False,True
44,0.00443692441449,0.00278590782985,0.00335729263995,0.00377499622846,0.00410596032148,0.0030716002349,False,True
45,0.0025615187966,0.00369321848592,0.00339179010157,0.00254273217198,0.00255212548429,0.00354250429375,True,False
46,0.00360934890311,0.00344184041259,0.00347395019999,0.00317326687243,0.00339130788777,0.00345789530629,True,False
47,0.00398854732757,0.00341622523319,0.00371971822288,0.0030420403019,0.00351529381474,0.00356797172804,True,False
48,0.00545525531138,0.00801959968432,0.00618802561271,0.00526309608847,0.00535917569992,0.00710381264852,True,False
49,0.00352529317594,0.00434383950726,0.00405073525115,0.0036507198079,0.00358800649192,0.0041972873792,True,False
50,0.00277010372194,0.00263086070255,0.00309155321738,0.00291152516814,0.00284081444504,0.00286120695996,True,False
