,t1250,tr250,t2250,t1500,tr500,t2500,t11000,tr1000,t21000
0,0.369863013699,0.298701298701,0.344086021505,0.432664756447,0.373626373626,0.440922190202,0.48588410104,0.430615164521,0.492537313433
1,0.40056022409,0.298701298701,0.344086021505,0.481481481481,0.356852103121,0.418439716312,0.514004542014,0.438848920863,0.48588410104
2,0.385041551247,0.275510204082,0.32625994695,0.447178002894,0.342281879195,0.416430594901,0.493651979089,0.395673412421,0.473839351511
3,0.373626373626,0.26582278481,0.275510204082,0.432664756447,0.314060446781,0.390820584145,0.481481481481,0.408450704225,0.445086705202
4,0.322751322751,0.302083333333,0.358695652174,0.424501424501,0.360544217687,0.385041551247,0.461988304094,0.414427157001,0.456664238893
5,0.385041551247,0.336898395722,0.32625994695,0.449275362319,0.392757660167,0.424501424501,0.507159005275,0.448225923244,0.446131597975
6,0.40056022409,0.302083333333,0.351351351351,0.455604075691,0.32625994695,0.422475106686,0.510574018127,0.381215469613,0.482579688658
7,0.388888888889,0.302083333333,0.369863013699,0.449275362319,0.367989056088,0.430615164521,0.493651979089,0.398601398601,0.476014760148
8,0.40056022409,0.298701298701,0.336898395722,0.461988304094,0.390820584145,0.40056022409,0.523229246002,0.4440433213,0.466275659824
9,0.37741046832,0.295336787565,0.362397820163,0.459854014599,0.349527665317,0.420454545455,0.51171579743,0.427551748751,0.486988847584
10,0.355013550136,0.298701298701,0.32625994695,0.410437235543,0.366120218579,0.420454545455,0.450326323423,0.424501424501,0.497005988024
11,0.40056022409,0.302083333333,0.369863013699,0.438848920863,0.340482573727,0.432664756447,0.509433962264,0.413427561837,0.468428781204
12,0.416430594901,0.305483028721,0.396648044693,0.464128843338,0.344086021505,0.455604075691,0.526717557252,0.416430594901,0.498127340824
13,0.424501424501,0.312335958005,0.336898395722,0.430615164521,0.362397820163,0.408450704225,0.488095238095,0.405481377372,0.468428781204
14,0.373626373626,0.329787234043,0.347708894879,0.434720229555,0.371742112483,0.434720229555,0.480384900074,0.450326323423,0.480384900074
15,0.369863013699,0.26582278481,0.344086021505,0.438848920863,0.335113484646,0.392757660167,0.499250374813,0.397624039133,0.461988304094
16,0.428571428571,0.322751322751,0.312335958005,0.474926253687,0.358695652174,0.381215469613,0.501501501502,0.421464108031,0.445086705202
17,0.385041551247,0.278772378517,0.355013550136,0.440922190202,0.362397820163,0.422475106686,0.509433962264,0.423487544484,0.473839351511
18,0.362397820163,0.305483028721,0.344086021505,0.424501424501,0.351351351351,0.426533523538,0.478196600148,0.415428167021,0.494768310912
19,0.366120218579,0.298701298701,0.388888888889,0.443001443001,0.383125864454,0.443001443001,0.481481481481,0.413427561837,0.497005988024
