,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
58,0.1200079921,0.0971282719,0.1317074566,0.1045045991,0.1122562956,0.1144178642,True,False,,,,,
59,0.1343268845,0.1501079006,0.1765207588,0.1330350441,0.1336809643,0.1633143297,True,False,,,,,
60,0.1456834711,0.1260080703,0.1417604004,0.1115635084,0.1286234897,0.1338842353,True,False,,,,,
61,0.1167790439,0.1117986396,0.1479424487,0.1235908661,0.120184955,0.1298705441,True,False,,,,,
62,0.0879755841,0.088139331,0.0747497383,0.075579091,0.0817773376,0.0814445346,False,True,,,,,
63,0.0721247592,0.0982054489,0.0821001136,0.0816043121,0.0768645357,0.0901527812,True,False,,,,,
64,0.1040043515,0.0903180714,0.1312303585,0.0838221772,0.0939132643,0.110774215,True,False,,,,,
65,0.1092871181,0.1202467298,0.1430556938,0.0916335902,0.1004603541,0.1316512118,True,False,,,,,
66,0.0794223135,0.1162206639,0.0817721915,0.0837294122,0.0815758629,0.0989964277,True,False,,,,,
67,0.1035430656,0.1467771523,0.1035521299,0.0924924246,0.0980177451,0.1251646411,True,False,,,,,
68,0.0921782746,0.0796869149,0.0914550152,0.0512427327,0.0717105037,0.085570965,True,False,,,,,
69,0.0716268835,0.1001347207,0.0775389311,0.0510601683,0.0613435259,0.0888368259,True,False,,,,,
70,0.0914750704,0.1151779813,0.0716305816,0.0645848911,0.0780299808,0.0934042815,True,False,,,,,
71,0.0915884161,0.1109184401,0.0892847511,0.0712023619,0.081395389,0.1001015956,True,False,,,,,
72,0.1921886039,0.1495789359,0.1543127275,0.1708089869,0.1814987954,0.1519458317,False,True,,,,,
73,0.0500984472,0.045086841,0.0590861951,0.0385169119,0.0443076796,0.0520865181,True,False,,,,,
74,0.0462862872,0.0549676795,0.0566869434,0.046730535,0.0465084111,0.0558273115,True,False,,,,,
75,0.2084165336,0.1201903136,0.077228502,0.0852198467,0.1468181902,0.0987094078,False,True,,,,,
76,0.1169466153,0.1330778993,0.1214164288,0.1032308667,0.110088741,0.1272471641,True,False,,,,,
77,0.1728816248,0.09421743,0.1796594429,0.1135331068,0.1432073658,0.1369384365,False,True,,,,,
78,0.1054531749,0.1213542263,0.2043774101,0.0950268423,0.1002400086,0.1628658182,True,False,,,,,
79,0.1234498929,0.1233962739,0.1106352704,0.0828528131,0.103151353,0.1170157721,True,False,,,,,
80,0.1916540976,0.1254623658,0.1412361108,0.142921681,0.1672878893,0.1333492383,False,True,,,,,
81,0.1167152609,0.2149994323,0.1596248174,0.1210692489,0.1188922549,0.1873121248,True,False,,,,,
