,rand,t1s,t2s
0,0.136363636364,0.333333333333,0.176470588235
1,0.136363636364,0.369863013699,0.162790697674
2,0.149425287356,0.369863013699,0.234567901235
3,0.0869565217391,0.351351351351,0.162790697674
4,0.123595505618,0.315789473684,0.25
5,0.162790697674,0.282051282051,0.176470588235
6,0.162790697674,0.369863013699,0.162790697674
7,0.111111111111,0.428571428571,0.204819277108
8,0.149425287356,0.315789473684,0.234567901235
9,0.123595505618,0.298701298701,0.149425287356
10,0.0752688172043,0.351351351351,0.219512195122
11,0.0869565217391,0.298701298701,0.204819277108
12,0.190476190476,0.388888888889,0.149425287356
13,0.0989010989011,0.333333333333,0.190476190476
14,0.136363636364,0.315789473684,0.190476190476
15,0.136363636364,0.26582278481,0.190476190476
16,0.111111111111,0.26582278481,0.123595505618
17,0.123595505618,0.26582278481,0.162790697674
18,0.123595505618,0.449275362319,0.162790697674
19,0.176470588235,0.428571428571,0.136363636364
20,0.0989010989011,0.315789473684,0.123595505618
21,0.0752688172043,0.369863013699,0.162790697674
22,0.111111111111,0.315789473684,0.204819277108
23,0.0989010989011,0.351351351351,0.136363636364
24,0.136363636364,0.26582278481,0.234567901235
25,0.123595505618,0.298701298701,0.176470588235
26,0.149425287356,0.369863013699,0.176470588235
27,0.123595505618,0.333333333333,0.162790697674
28,0.0869565217391,0.388888888889,0.282051282051
29,0.149425287356,0.298701298701,0.190476190476
30,0.123595505618,0.333333333333,0.176470588235
31,0.111111111111,0.298701298701,0.204819277108
32,0.123595505618,0.26582278481,0.25
33,0.123595505618,0.351351351351,0.26582278481
34,0.136363636364,0.282051282051,0.162790697674
35,0.0869565217391,0.408450704225,0.234567901235
36,0.0989010989011,0.333333333333,0.234567901235
37,0.0752688172043,0.351351351351,0.136363636364
38,0.123595505618,0.25,0.219512195122
39,0.0989010989011,0.333333333333,0.123595505618
40,0.111111111111,0.369863013699,0.25
41,0.149425287356,0.388888888889,0.234567901235
42,0.0989010989011,0.351351351351,0.219512195122
43,0.123595505618,0.298701298701,0.162790697674
44,0.149425287356,0.234567901235,0.149425287356
45,0.123595505618,0.408450704225,0.176470588235
46,0.111111111111,0.315789473684,0.234567901235
47,0.123595505618,0.351351351351,0.162790697674
48,0.111111111111,0.351351351351,0.26582278481
49,0.0869565217391,0.298701298701,0.123595505618
50,0.136363636364,0.449275362319,0.176470588235
51,0.0869565217391,0.333333333333,0.190476190476
52,0.136363636364,0.351351351351,0.190476190476
53,0.123595505618,0.351351351351,0.219512195122
54,0.111111111111,0.333333333333,0.190476190476
55,0.0989010989011,0.25,0.136363636364
56,0.136363636364,0.333333333333,0.162790697674
57,0.149425287356,0.298701298701,0.190476190476
58,0.111111111111,0.428571428571,0.190476190476
59,0.136363636364,0.369863013699,0.204819277108
60,0.123595505618,0.369863013699,0.176470588235
61,0.123595505618,0.298701298701,0.190476190476
62,0.123595505618,0.25,0.149425287356
63,0.0989010989011,0.369863013699,0.162790697674
64,0.136363636364,0.449275362319,0.149425287356
65,0.136363636364,0.369863013699,0.234567901235
66,0.123595505618,0.315789473684,0.204819277108
67,0.136363636364,0.351351351351,0.190476190476
68,0.123595505618,0.408450704225,0.219512195122
69,0.123595505618,0.333333333333,0.204819277108
70,0.162790697674,0.369863013699,0.123595505618
71,0.111111111111,0.333333333333,0.190476190476
72,0.149425287356,0.298701298701,0.136363636364
73,0.136363636364,0.333333333333,0.162790697674
74,0.0989010989011,0.388888888889,0.26582278481
75,0.123595505618,0.351351351351,0.219512195122
76,0.0989010989011,0.333333333333,0.26582278481
77,0.123595505618,0.449275362319,0.176470588235
78,0.111111111111,0.26582278481,0.190476190476
79,0.123595505618,0.315789473684,0.204819277108
80,0.162790697674,0.351351351351,0.190476190476
81,0.149425287356,0.315789473684,0.190476190476
82,0.136363636364,0.26582278481,0.149425287356
83,0.149425287356,0.388888888889,0.162790697674
84,0.149425287356,0.333333333333,0.234567901235
85,0.0989010989011,0.333333333333,0.204819277108
86,0.136363636364,0.408450704225,0.25
87,0.0989010989011,0.298701298701,0.204819277108
88,0.0869565217391,0.315789473684,0.176470588235
89,0.0869565217391,0.315789473684,0.176470588235
90,0.123595505618,0.369863013699,0.176470588235
91,0.149425287356,0.26582278481,0.190476190476
92,0.111111111111,0.234567901235,0.234567901235
93,0.111111111111,0.333333333333,0.162790697674
94,0.111111111111,0.351351351351,0.190476190476
95,0.123595505618,0.333333333333,0.204819277108
96,0.136363636364,0.298701298701,0.234567901235
97,0.123595505618,0.315789473684,0.204819277108
98,0.162790697674,0.388888888889,0.204819277108
99,0.111111111111,0.315789473684,0.204819277108
100,0.162790697674,0.26582278481,0.234567901235
101,0.0869565217391,0.282051282051,0.190476190476
102,0.136363636364,0.369863013699,0.176470588235
103,0.123595505618,0.351351351351,0.234567901235
104,0.136363636364,0.333333333333,0.234567901235
105,0.162790697674,0.315789473684,0.25
