,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
51,0.4598540146,0.5267175573,0.5037593985,0.1494252874,0.1834319527,0.1627906977,0.0928961749,0.0989010989,0.0869565217
52,0.4925373134,0.5267175573,0.4925373134,0.2121212121,0.1834319527,0.1494252874,0.1111111111,0.1049723757,0.1173184358
53,0.4388489209,0.5037593985,0.5503875969,0.2195121951,0.1627906977,0.1904761905,0.1111111111,0.1173184358,0.1049723757
54,0.4388489209,0.5267175573,0.5625,0.1560693642,0.1834319527,0.1976047904,0.0695187166,0.1111111111,0.0752688172
55,0.4285714286,0.5151515152,0.4925373134,0.226993865,0.1976047904,0.1627906977,0.1049723757,0.0928961749,0.0810810811
56,0.4388489209,0.5873015873,0.5151515152,0.1627906977,0.1976047904,0.1111111111,0.0989010989,0.0695187166,0.1235955056
57,0.4492753623,0.5037593985,0.5037593985,0.1494252874,0.2048192771,0.1494252874,0.0869565217,0.1363636364,0.1428571429
58,0.5037593985,0.5267175573,0.5503875969,0.1627906977,0.1764705882,0.1976047904,0.0810810811,0.0695187166,0.1111111111
59,0.5267175573,0.4705882353,0.5267175573,0.2048192771,0.1904761905,0.1904761905,0.1299435028,0.1428571429,0.1111111111
60,0.4705882353,0.5503875969,0.5151515152,0.1695906433,0.1834319527,0.1494252874,0.0989010989,0.0928961749,0.0989010989
61,0.4285714286,0.4925373134,0.5748031496,0.1428571429,0.1904761905,0.226993865,0.1299435028,0.1235955056,0.1235955056
62,0.4814814815,0.4598540146,0.4925373134,0.1363636364,0.1627906977,0.1695906433,0.0928961749,0.1173184358,0.0989010989
63,0.4492753623,0.5037593985,0.6129032258,0.1764705882,0.1764705882,0.2121212121,0.1111111111,0.0869565217,0.0810810811
64,0.5151515152,0.5384615385,0.4492753623,0.1834319527,0.1695906433,0.1235955056,0.1111111111,0.1235955056,0.1049723757
