,random_100,industrialarts_science_100,science_industrialarts_100,random_200,industrialarts_science_200,science_industrialarts_200,random_300,industrialarts_science_300,science_industrialarts_300
0,0.242236024845,0.315789473684,0.398601398601,0.269841269841,0.393728222997,0.379310344828,0.330376940133,0.428571428571,0.385681293303
1,0.26582278481,0.369863013699,0.369863013699,0.369863013699,0.374570446735,0.418439716312,0.39211136891,0.408450704225,0.415094339623
2,0.351351351351,0.324503311258,0.273885350318,0.384083044983,0.393728222997,0.333333333333,0.431980906921,0.408450704225,0.354401805869
3,0.290322580645,0.388888888889,0.388888888889,0.315789473684,0.35593220339,0.384083044983,0.342281879195,0.415094339623,0.438848920863
4,0.333333333333,0.307189542484,0.315789473684,0.374570446735,0.360544217687,0.351351351351,0.37299771167,0.376146788991,0.345291479821
5,0.333333333333,0.333333333333,0.388888888889,0.369863013699,0.379310344828,0.388888888889,0.385681293303,0.395348837209,0.415094339623
6,0.333333333333,0.360544217687,0.298701298701,0.379310344828,0.393728222997,0.333333333333,0.385681293303,0.388888888889,0.348314606742
7,0.298701298701,0.388888888889,0.282051282051,0.35593220339,0.40350877193,0.351351351351,0.376146788991,0.428571428571,0.369863013699
8,0.351351351351,0.307189542484,0.360544217687,0.408450704225,0.369863013699,0.433691756272,0.401869158879,0.398601398601,0.452784503632
9,0.333333333333,0.324503311258,0.449275362319,0.35593220339,0.40350877193,0.428571428571,0.385681293303,0.401869158879,0.428571428571
10,0.388888888889,0.379310344828,0.351351351351,0.360544217687,0.398601398601,0.365187713311,0.385681293303,0.401869158879,0.39211136891
11,0.342281879195,0.428571428571,0.351351351351,0.35593220339,0.40350877193,0.379310344828,0.401869158879,0.438848920863,0.382488479263
12,0.333333333333,0.315789473684,0.324503311258,0.333333333333,0.365187713311,0.35593220339,0.360544217687,0.395348837209,0.415094339623
13,0.315789473684,0.333333333333,0.333333333333,0.360544217687,0.408450704225,0.328903654485,0.39211136891,0.431980906921,0.366742596811
14,0.351351351351,0.333333333333,0.398601398601,0.346801346801,0.35593220339,0.433691756272,0.398601398601,0.379310344828,0.456310679612
15,0.273885350318,0.360544217687,0.408450704225,0.315789473684,0.351351351351,0.423487544484,0.363636363636,0.418439716312,0.449275362319
16,0.342281879195,0.342281879195,0.298701298701,0.40350877193,0.360544217687,0.346801346801,0.442307692308,0.385681293303,0.401869158879
