,random_100,socialstudies_health_100,health_socialstudies_100,random_200,socialstudies_health_200,health_socialstudies_200,random_300,socialstudies_health_300,health_socialstudies_300
0,0.324503311258,0.298701298701,0.226993865031,0.365187713311,0.351351351351,0.25786163522,0.382488479263,0.385681293303,0.295896328294
1,0.183431952663,0.282051282051,0.25,0.253918495298,0.369863013699,0.25,0.25,0.357466063348,0.282051282051
2,0.26582278481,0.315789473684,0.282051282051,0.35593220339,0.328903654485,0.33779264214,0.348314606742,0.348314606742,0.345291479821
3,0.290322580645,0.369863013699,0.273885350318,0.342281879195,0.384083044983,0.26582278481,0.351351351351,0.421800947867,0.304347826087
4,0.290322580645,0.315789473684,0.290322580645,0.328903654485,0.35593220339,0.307189542484,0.348314606742,0.360544217687,0.327433628319
5,0.273885350318,0.307189542484,0.25,0.360544217687,0.365187713311,0.324503311258,0.382488479263,0.405152224824,0.357466063348
6,0.290322580645,0.25786163522,0.234567901235,0.333333333333,0.269841269841,0.311475409836,0.354401805869,0.315789473684,0.298701298701
7,0.226993865031,0.307189542484,0.315789473684,0.302931596091,0.328903654485,0.365187713311,0.342281879195,0.382488479263,0.363636363636
8,0.25786163522,0.25786163522,0.26582278481,0.298701298701,0.328903654485,0.290322580645,0.345291479821,0.369863013699,0.336302895323
9,0.273885350318,0.307189542484,0.226993865031,0.384083044983,0.320132013201,0.26582278481,0.395348837209,0.348314606742,0.293103448276
10,0.324503311258,0.398601398601,0.26582278481,0.365187713311,0.423487544484,0.294498381877,0.366742596811,0.408450704225,0.310043668122
11,0.242236024845,0.324503311258,0.212121212121,0.290322580645,0.342281879195,0.273885350318,0.333333333333,0.379310344828,0.276595744681
12,0.290322580645,0.351351351351,0.25,0.324503311258,0.374570446735,0.298701298701,0.304347826087,0.418439716312,0.354401805869
13,0.25786163522,0.282051282051,0.315789473684,0.315789473684,0.261829652997,0.35593220339,0.366742596811,0.282051282051,0.379310344828
14,0.298701298701,0.307189542484,0.25786163522,0.346801346801,0.342281879195,0.298701298701,0.379310344828,0.366742596811,0.310043668122
15,0.273885350318,0.333333333333,0.298701298701,0.315789473684,0.351351351351,0.294498381877,0.315789473684,0.369863013699,0.301518438178
16,0.351351351351,0.351351351351,0.324503311258,0.379310344828,0.369863013699,0.384083044983,0.385681293303,0.37299771167,0.435406698565
17,0.273885350318,0.351351351351,0.234567901235,0.294498381877,0.398601398601,0.302931596091,0.327433628319,0.39211136891,0.324503311258
18,0.315789473684,0.369863013699,0.315789473684,0.351351351351,0.449275362319,0.342281879195,0.376146788991,0.438848920863,0.363636363636
19,0.26582278481,0.333333333333,0.234567901235,0.374570446735,0.379310344828,0.307189542484,0.395348837209,0.360544217687,0.357466063348
20,0.298701298701,0.315789473684,0.25786163522,0.388888888889,0.351351351351,0.298701298701,0.401869158879,0.376146788991,0.336302895323
21,0.190476190476,0.333333333333,0.190476190476,0.302931596091,0.365187713311,0.226993865031,0.327433628319,0.401869158879,0.25786163522
22,0.25,0.234567901235,0.26582278481,0.311475409836,0.269841269841,0.324503311258,0.348314606742,0.312910284464,0.312910284464
