,random_100,socialstudies_languagearts_100,languagearts_socialstudies_100,random_200,socialstudies_languagearts_200,languagearts_socialstudies_200,random_300,socialstudies_languagearts_300,languagearts_socialstudies_300
0,0.360544217687,0.307189542484,0.298701298701,0.149425287356,0.0928961748634,0.104972375691,0.0526315789474,0.0416666666667,0.0928961748634
1,0.315789473684,0.307189542484,0.342281879195,0.123595505618,0.0869565217391,0.0869565217391,0.0695187165775,0.0695187165775,0.0810810810811
2,0.282051282051,0.369863013699,0.351351351351,0.117318435754,0.104972375691,0.136363636364,0.0695187165775,0.063829787234,0.0989010989011
3,0.298701298701,0.360544217687,0.26582278481,0.0928961748634,0.111111111111,0.117318435754,0.0810810810811,0.111111111111,0.063829787234
4,0.333333333333,0.342281879195,0.342281879195,0.149425287356,0.0989010989011,0.149425287356,0.0582010582011,0.0695187165775,0.0471204188482
5,0.333333333333,0.25786163522,0.307189542484,0.104972375691,0.117318435754,0.111111111111,0.0526315789474,0.063829787234,0.0928961748634
6,0.298701298701,0.298701298701,0.324503311258,0.111111111111,0.162790697674,0.104972375691,0.0471204188482,0.0989010989011,0.0810810810811
7,0.307189542484,0.333333333333,0.273885350318,0.0928961748634,0.0752688172043,0.129943502825,0.0695187165775,0.0416666666667,0.0695187165775
8,0.324503311258,0.324503311258,0.307189542484,0.104972375691,0.0989010989011,0.123595505618,0.0752688172043,0.0471204188482,0.0582010582011
9,0.307189542484,0.315789473684,0.273885350318,0.117318435754,0.0869565217391,0.104972375691,0.063829787234,0.0989010989011,0.025641025641
10,0.25786163522,0.351351351351,0.351351351351,0.111111111111,0.142857142857,0.0989010989011,0.0752688172043,0.0695187165775,0.0928961748634
11,0.282051282051,0.307189542484,0.307189542484,0.142857142857,0.0989010989011,0.0928961748634,0.0471204188482,0.0695187165775,0.0582010582011
12,0.324503311258,0.315789473684,0.298701298701,0.111111111111,0.123595505618,0.0869565217391,0.0869565217391,0.0989010989011,0.0695187165775
13,0.298701298701,0.324503311258,0.351351351351,0.111111111111,0.117318435754,0.142857142857,0.0582010582011,0.0752688172043,0.0752688172043
14,0.25786163522,0.307189542484,0.388888888889,0.0989010989011,0.0928961748634,0.142857142857,0.0416666666667,0.0695187165775,0.0810810810811
15,0.360544217687,0.26582278481,0.324503311258,0.183431952663,0.104972375691,0.104972375691,0.0752688172043,0.0695187165775,0.0752688172043
16,0.298701298701,0.307189542484,0.388888888889,0.0810810810811,0.0869565217391,0.0989010989011,0.0928961748634,0.0471204188482,0.0752688172043
17,0.242236024845,0.298701298701,0.333333333333,0.111111111111,0.117318435754,0.136363636364,0.0416666666667,0.0471204188482,0.0526315789474
18,0.290322580645,0.333333333333,0.307189542484,0.0869565217391,0.142857142857,0.0989010989011,0.063829787234,0.0582010582011,0.0309278350515
19,0.234567901235,0.324503311258,0.307189542484,0.0695187165775,0.0869565217391,0.111111111111,0.063829787234,0.0471204188482,0.0695187165775
20,0.26582278481,0.324503311258,0.360544217687,0.0869565217391,0.104972375691,0.111111111111,0.0471204188482,0.0810810810811,0.0309278350515
21,0.298701298701,0.333333333333,0.290322580645,0.0526315789474,0.149425287356,0.142857142857,0.0416666666667,0.063829787234,0.0471204188482
