,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
21,0.3888888889,0.5625,0.4598540146,0.4981273408,0.5037593985,0.4981273408,0.4778325123,0.5228426396,0.4814814815
22,0.4388489209,0.5384615385,0.4492753623,0.4925373134,0.5209125475,0.5325670498,0.466992665,0.4925373134,0.5267175573
23,0.5267175573,0.5037593985,0.4925373134,0.5037593985,0.4869888476,0.5094339623,0.5267175573,0.5267175573,0.5228426396
24,0.5037593985,0.5037593985,0.5384615385,0.5444015444,0.5151515152,0.5444015444,0.5189873418,0.5,0.5267175573
25,0.4598540146,0.5503875969,0.5037593985,0.5564202335,0.5503875969,0.5564202335,0.5151515152,0.5151515152,0.5345268542
26,0.4388489209,0.5625,0.5267175573,0.5094339623,0.5384615385,0.5267175573,0.4962593516,0.5384615385,0.5
27,0.4705882353,0.5267175573,0.4814814815,0.4925373134,0.4981273408,0.4814814815,0.4527845036,0.5151515152,0.4851485149
28,0.5384615385,0.4925373134,0.4814814815,0.5209125475,0.5384615385,0.5151515152,0.4962593516,0.5189873418,0.5189873418
29,0.4388489209,0.5037593985,0.5037593985,0.5325670498,0.4388489209,0.5094339623,0.5037593985,0.4492753623,0.5075376884
30,0.4598540146,0.5151515152,0.5384615385,0.4981273408,0.4925373134,0.5325670498,0.5,0.5189873418,0.5228426396
31,0.4925373134,0.5625,0.4814814815,0.4492753623,0.5325670498,0.5094339623,0.4492753623,0.5189873418,0.5189873418
32,0.4705882353,0.5037593985,0.5037593985,0.581027668,0.5151515152,0.5151515152,0.5267175573,0.5503875969,0.4925373134
33,0.4814814815,0.4925373134,0.5267175573,0.568627451,0.5384615385,0.5564202335,0.5267175573,0.5424164524,0.5113350126
34,0.4598540146,0.5037593985,0.5384615385,0.4869888476,0.5151515152,0.5267175573,0.4705882353,0.5113350126,0.5189873418
35,0.4705882353,0.4814814815,0.5037593985,0.5503875969,0.5625,0.5267175573,0.5267175573,0.5384615385,0.5113350126
36,0.3986013986,0.5267175573,0.5384615385,0.4925373134,0.5444015444,0.5325670498,0.5,0.5384615385,0.5037593985
37,0.5151515152,0.5503875969,0.5748031496,0.5037593985,0.568627451,0.5748031496,0.4962593516,0.5228426396,0.5384615385
